iter	Passed	Remaining
469	708	798
470	709	796
471	710	794
472	711	792
473	712	790
474	713	788
475	714	786
476	715	784
477	716	782
478	718	780
479	719	779
480	720	777
481	721	775
482	722	773
483	724	772
484	725	770
485	726	768
486	727	766
487	728	764
488	729	762
489	730	760
490	732	759
491	733	757
492	734	755
493	735	753
494	737	752
495	739	751
496	741	750
497	742	748
498	743	746
499	744	744
500	746	743
501	747	741
502	748	739
503	749	737
504	750	735
505	752	734
506	753	732
507	754	730
508	755	729
509	757	727
510	758	725
511	759	723
512	760	721
513	761	719
514	762	718
515	763	716
516	764	714
517	766	712
518	767	711
519	768	709
520	769	707
521	770	705
522	771	704
523	773	702
524	774	700
525	775	698
526	776	696
527	777	695
528	778	693
529	779	691
530	781	690
531	782	688
532	784	687
533	785	685
534	786	683
535	787	681
536	788	680
537	789	678
538	790	676
539	792	674
540	793	673
541	794	671
542	795	669
543	796	667
544	798	666
545	799	664
546	800	663
547	801	661
548	803	659
549	804	657
550	805	656
551	806	654
552	807	653
553	809	651
554	810	649
555	811	648
556	813	646
557	814	645
558	815	643
559	816	641
560	817	639
561	819	638
562	820	636
563	821	635
564	822	633
565	823	631
566	824	629
567	825	628
568	826	626
569	827	624
570	829	622
571	830	621
572	831	619
573	832	617
574	833	616
575	834	614
576	835	612
577	836	611
578	837	609
579	839	607
580	840	605
581	842	605
582	843	603
583	845	602
584	846	600
585	847	598
586	848	597
587	850	595
588	851	594
589	852	592
590	853	590
591	854	589
592	856	587
593	857	585
594	858	584
595	859	582
596	860	581
597	861	579
598	862	577
599	864	576
600	865	574
601	866	572
602	867	570
603	868	569
604	869	567
605	870	566
606	871	564
607	873	562
608	874	561
609	875	559
610	876	558
611	878	556
612	879	555
613	880	553
614	881	551
615	882	550
616	883	548
617	884	546
618	886	545
619	887	543
620	888	542
621	889	540
622	890	539
623	892	537
624	893	536
625	894	534
626	895	533
627	896	531
628	897	529
629	899	528
630	900	526
631	902	525
632	903	524
633	905	522
634	906	520
635	907	519
636	908	517
637	909	516
638	910	514
639	911	512
640	912	511
641	913	509
642	915	508
643	916	506
644	917	504
645	918	503
646	919	501
647	921	500
648	922	498
649	924	497
650	925	495
651	926	494
652	927	492
653	928	491
654	929	489
655	931	488
656	932	486
657	933	485
658	934	483
659	935	482
660	936	480
661	937	478
662	939	477
663	940	475
664	941	474
665	942	472
666	943	471
667	945	469
668	946	468
669	947	466
670	948	465
671	950	463
672	951	462
673	952	460
674	953	459
675	955	457
676	956	456
677	957	454
678	958	453
679	959	451
680	960	450
681	962	448
682	963	447
683	964	445
684	965	444
685	967	442
686	968	441
687	969	439
688	970	437
689	971	436
690	972	434
691	973	433
692	974	431
693	975	430
694	977	428
695	978	427
696	979	425
697	980	424
698	981	422
699	983	421
700	984	419
701	985	418
702	986	416
703	987	415
704	989	413
705	990	412
706	991	410
707	993	409
708	995	408
709	996	406
710	997	405
711	998	403
712	999	402
713	1000	400
714	1002	399
715	1003	397
716	1004	396
717	1005	395
718	1007	393
719	1008	392
720	1009	390
721	1010	389
722	1012	387
723	1013	386
724	1014	384
725	1015	383
726	1017	382
727	1018	380
728	1019	378
729	1020	377
730	1021	376
731	1023	374
732	1024	373
733	1025	371
734	1026	370
735	1027	368
736	1028	367
737	1030	365
738	1031	364
739	1032	362
740	1033	361
741	1034	359
742	1035	358
743	1036	356
744	1038	355
745	1039	353
746	1040	352
747	1041	350
748	1042	349
749	1043	347
750	1045	346
751	1046	345
752	1047	343
753	1048	342
754	1050	340
755	1051	339
756	1052	337
757	1054	336
758	1055	335
759	1056	333
760	1057	332
761	1058	330
762	1059	329
763	1061	327
764	1062	326
765	1063	324
766	1064	323
767	1065	321
768	1067	320
769	1068	319
770	1069	317
771	1070	316
772	1071	314
773	1072	313
774	1073	311
775	1074	310
776	1076	308
777	1077	307
778	1078	305
779	1079	304
780	1082	303
781	1083	302
782	1084	300
783	1085	299
784	1086	297
785	1087	296
786	1089	294
787	1090	293
788	1091	291
789	1092	290
790	1093	288
791	1094	287
792	1095	286
793	1096	284
794	1097	283
795	1098	281
796	1100	280
797	1101	278
798	1102	277
799	1103	275
800	1105	274
801	1106	273
802	1107	271
803	1109	270
804	1110	268
805	1111	267
806	1113	266
807	1114	264
808	1115	263
809	1116	261
810	1117	260
811	1118	259
812	1120	257
813	1121	256
814	1122	254
815	1123	253
816	1124	251
817	1125	250
818	1126	249
819	1127	247
820	1128	246
821	1130	244
822	1131	243
823	1132	241
824	1133	240
825	1134	238
826	1135	237
827	1136	236
828	1138	234
829	1139	233
830	1140	231
831	1141	230
832	1143	229
833	1145	227
834	1146	226
835	1147	225
836	1148	223
837	1150	222
838	1151	220
839	1152	219
840	1153	218
841	1154	216
842	1155	215
843	1157	213
844	1158	212
845	1159	211
846	1160	209
847	1161	208
848	1162	206
849	1163	205
850	1165	204
851	1166	202
852	1167	201
853	1168	199
854	1169	198
855	1171	196
856	1172	195
857	1173	194
858	1176	193
859	1177	191
860	1178	190
861	1179	188
862	1180	187
863	1181	186
864	1182	184
865	1184	183
866	1185	181
867	1186	180
868	1187	179
869	1188	177
870	1189	176
871	1191	174
872	1192	173
873	1193	172
874	1194	170
875	1196	169
876	1197	167
877	1198	166
878	1199	165
879	1200	163
880	1202	162
881	1203	161
882	1204	159
883	1205	158
884	1207	156
885	1208	155
886	1209	154
887	1210	152
888	1212	151
889	1213	149
890	1214	148
891	1215	147
892	1216	145
